"On February 1, a man dispatched the following letter to a mechanic:""My car has not been running very well lately. I'll pay you $275 if you will change the oil, replace the oil filter, and adjust the carburetors by February 10. ""The mechanic received the man's letter on February 3. That same day, he telephoned an auto supply company and ordered the necessary materials to perform the repair work. Two days later, the mechanic met the man at a party and this conversation took place:The man: ""Disregard the letter I sent you last week. ""The mechanic: ""No way, man, I already ordered the materials on from the auto supply company. ""The man: ""Sorry, but I sold my car yesterday, so forget the repair work. ""If the mechanic initiates suit for breach of contract, which of the following is the man's strongest argument that no enforceable contract was formed between the parties?",The mechanic had not completed performance before the man revoked his offer.,The man's offer could only be accepted by a return promise.,"Because the man made his offer by letter, the mechanic could accept only in the same manner.","Although the mechanic was preparing to perform the repair work, he had not begun the requested acts of acceptance when the man revoked his offer.",D
"A city has granted a license to a private utility company to provide electrical service to the residents in the city. After approving the license to the utility company, the city council then passed a measure by which the utility company was required to insert in its monthly billing statements a letter from a private consumer group criticizing the high cost of electrical service. The cost of printing and mailing the monthly letter was paid entirely by the consumer group. Nonetheless, the utility company vehemently objected to having such a critical letter enclosed in their monthly billing statements. However, the city council warned the utility company that unless it complied with the directive, the city would revoke its license for electrical service. The utility company filed suit in federal court seeking a hearing prior to its license being revoked by the city council. Which of the following constitutional provisions would provide the utility company with the strongest grounds with which to challenge the city council measure?",The due process clause.,The equal protection clause.,The privileges and immunities clause of ArticleIv.,The commerce clause.,A
"A shopper in a store sees that a display case is about to fall on a second shopper's head. The shopper does nothing to warn or assist the second shopper, who is a stranger to her. She could have taken action to protect the second shopper without harming herself. Did the shopper have a duty to take action to try and protect the second shopper from injury?","No, there is no duty for a shopper to render assistance to a stranger even if it can be done without hurting herself.","Yes, the fact that a person sees that action is needed for another's aid or protection does impose a legal duty to act.","No, a failure to act does not and cannot result in liability under any circumstances.","Yes, the shopper must take action under the ""last clear chance"" doctrine.",A
"A brother and his sister, who was 15 years old, had just left a movie theater late one evening and were walking toward a dimly lit parking lot to get to their car. As they reached the car, a defendant, who was visibly intoxicated, emerged from behind a trash can and approached them. The defendant knocked the brother to the ground and hit him over the head with a trash can, causing the brother to lose consciousness. The defendant then forced the sister into the car and raped her. The defendant is charged with assault with intent to commit rape, based on his attack on the brother. The defendant's best defense would be which of the following statements?","Although the sister was only 15 years old, she appeared to be 16 years old to a reasonable man.",The defendant did not intend to rape the sister.,The defendant's intoxication at the time negated the required general intent.,It is impossible to prove that the defendant was the perpetrator because the parking lot was dimly lit.,B
"A city resident commuted to work each day by subway. After purchasing her subway ticket, the resident entered the subway for her ride downtown to where she was employed. Looking for a seat, the resident was walking toward the rear of the subway car when it came to an abrupt halt. As a result of the sudden stop, the resident fell onto a commuter, injuring him. If the commuter asserts a claim against the subway company to recover for his personal injuries, the commuter will probably","prevail, because a special duty of care was owed him.","prevail, because the sudden stop caused the resident to fall onto him.","not prevail, if the operator of the subway was not negligent in making the stop.","not prevail, if the resident was negligent in not holding onto the hand rail.",C
"A nephew was short of cash and was waiting for his elderly aunt to die. His aunt was currently in the hospital on a ventilator. Her condition was terminal, and the nephew could not wait to get his hands on his inheritance. One night, his girlfriend demanded that he buy her an engagement ring or she would break up with him. Out of time, the nephew went to the hospital and broke into the cabinet where the drugs were kept. Unbeknownst to the defendant, a nurse in the hospital, the nephew injected 1,000 mg's of a powerful muscle relaxant into the IV bag bound for his aunt's room. Ten mg's is the prescribed dosage of the muscle relaxant. The defendant, unaware of the IV's lethal capability, attached the new bag to the aunt's IV drip. The aunt's death was swift, and attempts to revive her were futile. The nephew celebrated his inheritance with a bottle of Champagne with his girlfriend. Unfortunately for the nephew, his aunt had changed her will some months prior to this, and all the aunt's money was left to her dog. If the defendant is prosecuted for administering the IV, she will most likely be found","guilty, as a principal in the first degree.","guilty, as a principal in the second degree.","guilty, as an accessory after the fact.",not guilty.,D
"Two law students were having lunch one afternoon when the first student said to the second, ""I'm thinking of selling my car. "" The second student replied, ""I might be interested in buying your car if the price is reasonable and I can convince my parents to float me a loan. "" The first student then grabbed a piece of paper and wrote the following on it:""I will sell you my car for $1,000. In exchange for $1 received this day, I agree that you can have one month from today's date to decide whether to accept this offer. ""The first student then signed the paper and handed it to the second student. The second student handed a one dollar bill to the first student and left. One week later, the second student succeeded in obtaining a $1,000 loan from his parents. He then telephoned the first student to accept the offer. Upon hearing the second student say hello, and before the second student could accept the offer, the first student said, ""I've changed my mind. I do not want to sell my car. ""Can the second student still accept the first student's offer?","No, because $1 is inadequate consideration.","No, because the first student's statement was unequivocal notice that he no longer wished to contract with the second student.","Yes, because the first student's letter formed a valid option.","Yes, based on the principal of promissory estoppel.",C
"While parked on a downtown street, a police officer noticed a man sauntering down the street, whistling. As the man came under a street light, the officer recognized him as a parolee from a neighboring state. The officer got out, stood in front of the man, and asked him to give an account of himself. The man replied, ""I'm the president, you dope . . . get out of my way or the Secret Service will gun you down,"" and reached into his coat pocket to bring something out, which he held in his clenched fist. The officer forced the man's hand open and found a number of diamond rings therein. Just then, the police radio in the officer's car announced that the burglar alarm of a jewelry store had rung in police headquarters. Believing that the man was responsible for burglarizing the jewelry store, the officer arrested him and took him to the police station where he was booked and fingerprinted. After he was given his Miranda warnings, the man requested to speak to his attorney. The officer led the man to a telephone and asked him if he knew his attorney's phone number. The man responded and gave the officer a phone number. The officer dialed the number and waited until a voice answered, ""law offices. "" The officer then handed the telephone receiver to the man. As the officer was walking out of the room, he heard the man say, ""Hello, it's me. I just got arrested after robbing a jewelry store. ""At trial, the officer is called to testify to what the man told his attorney during their telephone conversation. Upon proper objection by the man's attorney, the officer's proposed testimony should be","admitted, because the man's confession was not coerced.","admitted, because the statement was not the product of interrogation.","excluded, because the officer's conduct violated the man's Sixth Amendment right to counsel.","excluded, because the officer's conduct violated the man's attorney-client privilege.",B
"A child was playing with a ball in the front yard of his family's home. He accidentally threw the ball too far, and it hit a neighbor's new car. The neighbor was enraged and threatened to kill the child. The child ran inside his house and told his mother what had occurred. Although the child was only mildly upset by the incident, the child's mother was extremely distressed. She suffered an emotional breakdown and needed months of therapy to recover. If the mother sues the neighbor for the mental anguish suffered, she will","recover, even though she was not present when the threat was made.","recover, because she would not have suffered the emotional trauma had it not been for the neighbor's threat to her child's life.","not recover, because she was not present when the threat was made.","not recover, because the neighbor did not touch her child.",C
"On January 1, a manufacturer of widgets received an e-mail from a widget distributor about purchasing widgets. The manufacturer sent the following returh e-mail: ""Have 1,000 widgets available at $10 each for February delivery. Be advised that this offer will remain open until February 1. ""On January 31, the distributor sent the following fax to the manufacturer: ""Your offer is hereby accepted, but request delivery of 500 widgets in February and 500 widgets in March. "" The manufacturer received the fax the same day, but did not respond. Which of the following is the most accurate statement regarding the legal effect of the distributor's January 31 fax?","It constitutes a counteroffer, because it contains different terms from those contained in the original offer.","It constitutes a rejection, because the offer implied limited acceptance to the terms contained therein.",It creates an enforceable contract with delivery of 500 widgets in February and delivery of 500 widgets in March.,It creates a reformation integrating the terms of both writings.,C
Which statement best describes the profit sharing relationship of a general partnership where the partners have agreed only on voting percentage and the voting shares are unequal?,Partners share in proportion to their contributions to the capital and assets of the partnership.,Partners share in proportion to their voting percentage.,Partners share equally.,Partners cannot share until they unanimously agree upon a distribution.,C
"A police detective received an anonymous call that marijuana was being grown in someone's home, but no other details were given. She went to the home with an investigative team including a drug-sniffing dog. On the front porch of the home the dog began pacing back and forth frantically, which indicated smelling illegal drugs. The team retreated while some of them went to get a warrant. A warrant was issued based on the dog's behavior. The search inside revealed large quantities of marijuana. The homeowner was arrested. Through counsel, he filed a motion to suppress based on the assertion that the use of the dog was an illegal search without probable cause thus rendering the warrant invalid. Should the court suppress the evidence?","No, because the detective had probable cause after receiving the anonymous call, which justified the use of the dog for a valid search -- the warrant was thus valid and the evidence will not be suppressed.","No, because the detective had a right to take the dog to make a reasonable search, which led to the finding of probable cause and the issuance of a valid warrant.","Yes, because the anonymous call was insufficient cause to allow for a search of the front porch with the dog, which made the warrant invalid  the suppression motion will be granted.","Yes, because the dog's reaction did nothing to tell them that there were drugs inside  a warrant can never be based on a dog's information.",C
"A state legislature has recently enacted a statute requiring all prospective voters in state electionswho wish to write-in a candidate to print the candidate's full name, and designate the office for which the candidate is running. The statute provides that such information must be written on the ballot in ink in an appropriate space. A write-in candidate for the office of Attorney General is a Chinese-American. The candidate is of the opinion that he needs a large turnout of Chinese voters in order to win the election. As a result, his campaign manager decides to mail to every registered Chinese voter a tear-off sticker, which bears the candidates name along with the office of Attorney General. Since many native Chinese people are not proficient in reading and writing English, the campaign manager believes that many of the voters will have difficulty writing the candidate's name and office on the ballot. As a result, the campaign manager has mounted an extensive media campaign to inform voters on how to apply the stickers to the ballot. Five months prior to the election an election official notifies the candidate's campaign committee that the tear-off stickers do not comply with the state statute. In her letter, the official explains that state election officials are of the opinion that it is necessary for potential voters to write the candidate's name in ink. Therefore, she concludes that the stickers do not comply with statutory requirements. Three weeks later, the candidate filed suit in federal district court against the election officials, claiming that their interpretation of the state statute violates the U. S. Constitution. Thereafter, one of the candidate's opponents filed suit in state court seeking to prevent state election officials from counting any write-in ballots with stickers. The state court has now scheduled a prompt hearing on this matter. In addition, the state court has indicated that it hopes to render a decision on the merits within the next three weeks. Which of the following statements is correct concerning the federal court's adjudication of the candidate's suit?",The federal court should hear the case on the merits.,The federal court should refuse to hear the case because it presents a nonjusticiable political question.,The federal court should refuse to hear the case because of the abstention doctrine.,The federal court should remand the case to the state court to decide the constitutional issue presented.,C
"A defendant was indicted for engaging in a fraudulent investment scheme. At the criminal trial, the prosecutor called a witness who had participated in the scheme with the defendant. The witness testified about the operation of the scheme and was cross-examined by the defendant's attorney. The case resulted in a mistrial. An investor who was allegedly defrauded by the scheme has now brought a civil action against the defendant. She seeks to introduce the witness's testimony from the criminal trial. The witness has testimony from the criminal trial. The witness has moved to a foreign country. Is the witness's testimony in the criminal trial admissible in the civil action?","No, because the burden of proof in a criminal action is different from the burden of proof in a civil action.","No, because the parties are not identical in the two actions.","Yes, because it is prior testimony of an unavailable declarant.","Yes, but only if the investor demonstrates that she was unable to obtain the testimony of the witness by deposition.",C
"Four years ago the owner of a shopping center leased a store in the center for a 10-year term to a pharmacistfor use as a drugstore. The pharmacist established and operated a drugstore at the leased premises. The leaseincluded provisions that described the shopping center by metes and bounds; identified the entrances, parkingareas, signs, and other common facilities of the shopping center; and set out a covenant that the owner wouldnot lease any part of the shopping center to another drugstore. Last year the owner purchased a parcel of land immediately adjacent to the shopping center. That parcel wasimproved with a building that, at the time of the owner's purchase and for ten years earlier, was occupied inpart by a food supermarket and in part by a discount drugstore, under leases which the prior owner assignedto the owner. The owner reconstructed the common facilities of both shopping centers to integrate them and combine themso that, to the public, the two centers appeared as a larger single development. The pharmacist learned that the lease of the discount drugstore was about to expire and that the ownerplanned to enter into a new lease of the same space with the discount drugstore. The pharmacist protested the proposed new lease, but the owner declared his intention to go forward with it. The pharmacist brought an appropriate action to enjoin the new lease to the discount drugstore as a violationof the covenant in the pharmacist's lease. If the court finds for the owner, what will be the likely reason?",The covenant in the pharmacist's lease can be fairly construed as to apply only to the original shoppingcenter premises.,A covenant cannot restrict the use of land not owned by the covenantor when the covenant wascreated.,A covenant that attempts to restrict competition is invalid as against public policy even if it runs with theland.,The drugstore use on the adjacent parcel was in existence when the owner and the pharmacist firstentered into the lease.,A
"A homeowner was interested in changing the look of his home. He contacted an architect, who designed plans and specifications for a major ""facelift"" of the homeowner's home. The homeowner was very pleased with the plans and specifications. He showed the plans and specifications to his neighbor, who agreed that the facelift would greatly enhance the value of the homeowner's home. The homeowner contacted a contractor, who was considered to be the best in the area, to rebuild his house according to the plans and specifications. The contractor reviewed the plans and specifications and told the homeowner that he could do all the work called for by the plans and specifications for $100,000. The homeowner replied, ""That's a little more than I can afford. I really can only free up $80,000 for this project. Would you do it for that amount?"" The contractor responded, ""That's awfully low. I'll have to think about it,"" and then left. The next day, the neighbor telephoned the contractor. The neighbor explained to the contractor that he realized the value of his home would be enhanced by the improvement done to the homeowner's property. For that reason, the neighbor told the contractor he would pay him $10,000 if he would accept the homeowner's proposal and do the work called for by the plans and specifications. The contractor agreed. The next day the contractor informed the homeowner that he would accept his $80,000 offer. The contractor did all the work called for by the plans and specifications, and collected the $80,000 due him from the homeowner. However, the neighbor refused to pay the contractor the $10,000. If the contractor brings a breach of contract action against the neighbor, judgment for whom?","The contractor, because his signing a contract with the homeowner and completing the work according to the plans and specifications was legally sufficient consideration to support the neighbor's promise to pay him the $10,000.","The contractor, provided the neighbor realizes an increase in his property value as a result of the work done by the contractor.","The neighbor, because his promise to the contractor was illusory.","The neighbor, because at the moment the contractor accepted the homeowner's offer, he came under a pre-existing obligation, which was insufficient consideration to support the neighbor's promise.",A
"A defendant had an argument with his neighbor. As they were quarreling, the defendant pulled out his penknife intending only to frighten the neighbor. The defendant accidentally slightly nicked the neighbor's arm with the knife. Unknown to the defendant, his neighbor was a hemophiliac who then died from the cut. What is the most serious crime that the defendant can be convicted of?",Murder.,Voluntary manslaughter.,Involuntary manslaughter.,Battery.,C
"A state has the following recording statute in effect:""No conveyance is good against a subsequent purchaser for a valuable consideration and without notice, unless the same be recorded prior to subsequent purchase. ""An owner is the fee simple the owner of a 20-acre tract of unimproved land, situated in the state. On May 1, the owner sold the tract to a buyer for the purchase price of $40,000 under a quitclaim deed. The owner delivered the deed to the buyer who did not record the deed. After the sale to the buyer, the owner found himself in desperate need of money because he lost his job. So the owner, in consideration of the sum of $75,000, conveyed the tract to an investor by warranty deed. This transaction took place on August 1. When the investor acquired title to the tract, he had no actual knowledge of the buyer's deed (which was still unrecorded). On August 10, the buyer recorded his deed to the tract. The investor did not record the deed he received from the owner until August 15. In an appropriate action to quiet title to the tract, in which all interested parties have been joined, title will be found to be in","the buyer, because his deed preceded the investor's deed.","the buyer, because his deed was recorded prior to the investor's deed.","the investor, because he is protected by the recording statute.","the investor, because he took title by warranty deed and the buyer took title by quitclaim deed.",C
"A man was at a party where he observed a female guest who had passed out and was unconscious and alone in a bedroom of the house. The man locked the door and quietly took the female's purse, emptied all of the money into his pockets, and removed the jewelry from her person. He was apprehended and charged with robbery. Can he be convicted of that crime?","Yes, robbery is the unlawful taking of property from another's person by intimidation or force.","No, this was not robbery because there was no intimidation, and indeed no force, against an unconscious victim.","Yes, robbery does not require that the victim be subdued by force or be placed in fear.","No, this was not robbery because it occurred in a private home and not in a business establishment or on the street.",B
"A rancher owned a 2,000-acre cattle ranch in a remote section of the state. For some time the rancher's cattle had been seized upon by roaming packs of wolves. In order to protect his livestock from these attacks, the rancher erected a fence around his property. In addition, the rancher installed electrical wiring on the fence. The wiring transmitted an electric current, which would emit a shock upon contact with the fence. Although the voltage was calculated to frighten animals away from the fence, it was of such low intensity that it posed no risk of injury to a human being, even a small child. Consequently, the rancher did not post any notice of the electrical wiring device. One day, a cowboy was riding his horse along the outskirts of the rancher's property, when a gust of wind blew his hat onto the fence. The cowboy, who had undergone major heart surgery, wore a pacemaker. When the cowboy touched the top of the fence to retrieve his hat, the electric current short- circuited his pacemaker, resulting in the cowboy's death by electrocution. In a wrongful death action by the cowboy's estate against the rancher, the installation of the electrical wiring device would most likely constitute","the legal cause of the cowboy's death, but not the cause-in-fact.","the cause-in-fact of the cowboy's death, but not the legal cause.",the legal cause and the cause-in-fact of the cowboy's death.,neither the legal cause nor the cause-in-fact of the cowboy's death.,B
"In an effort to improve the health care of cancer patients, a state's legislature has enacted a law providing public funds to assist privately owned hospitals. According to the law, every hospital in the state would receive $5,000 annually for each cancer patient who was admitted to that hospital, and whose period of hospitalization exceeded one week. Although this bill was initially opposed by several churches and other organizations, the state's legislature re-drafted the bill in a compromise effort to appease the opposition. In its final re-draft, the bill provided that the $5,000 annual subsidy ""would not be paid to any hospital performing abortions. ""Which of the following is the strongest argument in support of the constitutionality of the state statute?",The Tenth Amendment reserves to the states plenary power over the allocation of their public funds.,"Public subsidies in hospitals are privileges rather than rights and, therefore, are not entitlements protected by the due process clause of the Fourteenth Amendment.",The funding limitation in this statute does not directly prohibit or penalize the exercise of a fundamental right and is rationally related to the achievement of a legitimate state interest.,"The statute promotes a compelling state interest in advancing the health, safety, and welfare of its citizenry.",C
"An investor owned substantial oil and mineral interests in the Rocky Mountains. In July 1990, the investor acquired title to a 100-acre tract located just outside the city limits in a rural area. In 1997, the investor decided to sell his vast ranching and oil interests in the Rocky Mountains. In July, the investor conveyed the tract for a consideration of one dollar, receipt of which was acknowledged, ""to my nephew, his heirs, and assigns, but if my nephew's wife dies without issue, to my chef and her heirs and assigns. ""After taking possession of the 100-acre tract, the nephew discovered considerable oil reserves on the property. He then began oil drilling operations and removed large quantities of oil, which he sold. At no time did he give notice to the chef of his oil-drilling activities. Months passed before the chef learned that the nephew was selling oil from the drilling operations. The chef has now brought an action in equity for an accounting of the value of the oil removed and for an injunction against any further oil removal. If the nephew's wife died without issue before the beginning of the nephew's oil drilling operations, would this improve the likelihood of the chef's success than if the wife were still alive?","No, because the right to remove oil is an incident of the right to possession.","No, because the nature of the nephew's estate would not be altered by the wife's death.","Yes, because the wife's death without issue would convert the nephew's fee into a reversionary interest.","Yes, because although the nephew still has a fee, it would now be certain to terminate.",D
"A dance student worked very hard to strengthen her legs, including performing additional activities such as leaping and bounding up multiple flights of stairs in her apartment building. While she was performing her exercises, one of the janitors in the building warned her that ""she was bound to get hurt if she keeps it up, because there are problems with the floor."" After falling and breaking a leg due to a loose floorboard, she brought suit against the building owner. The building owner wants to testify that: ""The janitor told me 'I told her that running too fast is dangerous and she was bound to get hurt.' "". Is the building owner's statement likely to be held admissible?","Yes, because it is as an exception to hearsay as a spontaneous declaration to an opponent-party.","Yes, because the building owner can testify and be questioned about what the janitor told him.","No, because it is irrelevant and immaterial.","No, because it is hearsay within hearsay, and there are no hearsay exceptions that apply.",D
"A state legislature enacts a statute prohibiting the sale of contraceptive devices to married persons. This state statute prohibits the use of contraceptive devices by married persons. A physician who practices in the state brings suit in federal court challenging the constitutionality of the state contraceptive statute. The physician attacks the validity of the statute on the grounds that it prevents him from giving professional advice concerning the use of contraceptives to three patients, all of whom are married, whose condition of health might be endangered by child bearing. The plaintiff is likely",to have standing.,to have standing jus tertii.,not to have standing.,not to have standing jus tertii.,D
"A man conveys to his wife's cousin a property to ""cousin and the heirs of his body."" He then conveys the same property to his niece in fee simple. Under modern real estate laws and practice in most states today, what interest if any does his niece have?",The conveyance gives the niece nothing because the property was already conveyed in fee simple to his wife's cousin.,She gets a reversion in case the cousin has no heir of his body at his death.,A contingent remainder based upon whether or not cousin has heirs.,She has a fee simple.,A
"A manufacturer of widgets sent a letter to an international widget retailer offering to sell ten truckloads of construction-quality widgets for $1,000 per truck. The retailer emailed a note back saying ""Please send 10 truckloads as promised."" No shipment was sent, but four months later when the market demand for widgets skyrocketed, the retailer sued the manufacturer for breach claiming that the retailer suffered damages by not having received the shipment of ten trucks as agreed. Does the retailer have a legal right to collect damages under these facts?","Yes, there is a specific and detailed enough offer, followed by an unequivocal acceptance, indicating an intent to form a contract.","No, the parties do not set a date for delivery, which always invalidates a contract between merchants for the delivery of goods.","No, the retailer never called back and asked for the widgets, which means that the contract was not finally confirmed and legalized.","Yes, the retailer is entitled to collect damages because the manufacturer violated the doctrine of avoidable consequences.",A
